"Player","Season","DepthTeam","DepthPos","Madden.Rating","ReservePos","PosFFA","fantPts_est","fantPts_IDPG","fantPts_FFTODAY","fantPts_FFA","fantPts_FDATA","fantPts_agg","fantPts"
"Darren Mcfadden",2017,"Dal","RB",77,NA,"RB",65.4430316175801,NA,99.2,109.733927746618,100.5,91.8923197880661,-0.2
"Jj Nelson",2017,"Ari","LWR",73,NA,"WR",82.9555237996806,NA,94.9,109.757520864016,91.1,91.8895228211256,79
"Kevin Walter",2010,"Hou","RWR",77,NA,"WR",99.3137205285824,NA,77,77,NA,91.8758136857216,117.6
"Will Hill",2015,"Bal","SS",88,NA,"DB",71.6150137265428,91.85,NA,69.85,NA,91.85,70.75
"Perrish Cox",2015,"Ten","LCB",79,NA,"DB",61.6956922912256,91.85,NA,75.3925,NA,91.85,35.25
"Kenny Britt",2014,"Lar","LWR",77,NA,"WR",76.3811303808529,NA,107.3,122.669247863248,105.9,91.8105028749845,118.2
"Jonathan Ross",2017,"Cin","RWR",77,NA,"WR",95.6752733837816,NA,63.1,84.0433942232631,78.4,91.7979803302755,-0.8
"Adam Humphries",2017,"Tam","LWR",76,NA,"WR",101.177449256446,NA,43,73.0302716049382,65.7,91.7950567059435,98.2
"Eric Weddle",2018,"Bal","FS",86,NA,"DB",77.164873946807,93.175,87.5,NA,NA,91.75625,NA
"Christian Kirksey",2015,"Cle","RILB",72,NA,"LB",87.2452599898425,NA,91.75,82.0375,NA,91.75,67.75
"Malcolm Jenkins",2014,"Phi","FS",77,NA,"DB",77.6247023035069,NA,91.75,NA,NA,91.75,107.75
"Ryan Kerrigan",2013,"Was","LOLB",87,NA,NA,83.1910010043695,NA,91.75,NA,NA,91.75,102.25
"Michael Peterson",2009,"Atl","WLB",80,NA,NA,71.3531298556975,NA,91.75,NA,NA,91.75,116.25
"Nick Harper",2009,"Ten","LCB",78,NA,NA,72.4892041118528,NA,91.75,NA,NA,91.75,83.75
"Terrell Suggs",2009,"Bal","ROLB",90,NA,NA,95.9679736122847,NA,91.75,NA,NA,91.75,76.25
"Omar Gaither",2008,"Phi","WLB",87,NA,NA,NA,NA,91.75,NA,NA,91.75,79.25
"Deangelo Hall",2016,"Was","FS",82,NA,"DB",66.7238249389669,98.375,71.75,95.4666666666667,NA,91.71875,13.5
"Heath Miller",2012,"Pit","TE",84,NA,"TE",91.4699844854287,NA,92,91.7816666666667,NA,91.6258255760477,165.1
"Stephen Hill",2013,"Nyj","LWR",74,NA,"WR",88.7929030061642,NA,109.5,97.1466666666666,NA,91.5774908929983,50.2
"Michael Crabtree",2011,"Sfo","LWR",81,NA,"WR",94.375775104539,NA,85.9,85.9,NA,91.5505167363593,148
"Glover Quin",2018,"Det","FS",87,NA,"DB",77.6651231103664,92.275,89.25,NA,NA,91.51875,NA
"Anthony Walker",2018,"Ind","MLB",71,NA,"LB",62.0060684359866,99.0225,69,NA,NA,91.516875,NA
