"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Steven Jackson",2010,"RB","Lar",203.632215746604,171.764431493207,235.5,NA,220.4
"Donovan Mcnabb",2010,"QB","Was",203.583730776589,195.307461553177,211.86,NA,173.18
"Aj Green",2017,"WR","Cin",203.510165283381,189.342691677874,217.677638888889,226.5,190.3
"Victor Cruz",2013,"WR","Nyg",203.294403107743,199.566806215485,207.022,NA,162.3
"Montee Ball",2014,"RB","Den",203.046769508382,135.934549950387,233.605758574759,239.6,31.9
"Ezekiel Elliott",2016,"RB","Dal",202.99393874125,157.42192733486,222.759888888889,228.8,306.4
"Marshawn Lynch",2014,"RB","Sea",202.912052854289,165.917423409133,222.218735153735,220.6,282.8
"Matthew Schaub",2008,"QB","Hou",202.66,NA,202.66,NA,176.52
"Adrian Peterson",2016,"RB","Min",202.505961303787,138.585375974852,231.532507936508,237.4,8.5
"Reggie Bush",2009,"RB","Nor",202.377534783483,203.555069566965,201.2,NA,146.333333333333
"Larry Fitzgerald",2010,"WR","Ari",202.126493179813,188.852986359626,215.4,NA,198.7
"Jarvis Landry",2016,"WR","Mia",202.033818572919,185.121222391713,218.946414754125,193.2,192.233333333333
"Devonta Freeman",2016,"RB","Atl",201.977324778862,165.928625130237,222.203349206349,217.8,257.1
"Demaryius Thomas",2016,"WR","Den",201.930890028384,207.300557834546,196.561222222222,201.8,181.3
"Michael Turner",2009,"RB","Atl",201.926942207603,159.153884415206,244.7,NA,148.1
"Greg Jennings",2011,"WR","Gnb",201.576555029234,192.853110058468,210.3,NA,183.4
"Ty Hilton",2017,"WR","Ind",201.327273236335,204.385121869495,198.269424603175,201.7,147.1
"Ej Manuel",2013,"QB","Buf",201.164946307902,235.99055928247,166.339333333333,NA,134.48
"Kurt Warner",2009,"QB","Ari",201.027506242946,170.035012485892,232.02,NA,226.12
"Marques Colston",2008,"WR","Nor",201,NA,201,NA,129.5
"Jay Cutler",2009,"QB","Chi",200.945449659488,190.890899318976,211,NA,224.94
"Wes Welker",2008,"WR","Nwe",200.9,NA,200.9,NA,203.366666666667
"Carson Palmer",2012,"QB","Oak",200.836131913978,189.014263827957,212.658,NA,229.32
"Randall Cobb",2013,"WR","Gnb",200.550586341145,177.658339348957,223.442833333333,NA,99.7
"Reggie Bush",2008,"RB","Nor",200.5,NA,200.5,NA,168.4
"Aaron Rodgers",2008,"QB","Gnb",200.46,NA,200.46,NA,290.22
"Roddy White",2010,"WR","Atl",200.292458283885,180.28491656777,220.3,NA,263.7
"Jamaal Charles",2010,"RB","Kan",200.119467167683,187.738934335366,212.5,NA,260
"Clinton Portis",2009,"RB","Was",200.039541298037,152.579082596074,247.5,NA,69.6
"Keenan Allen",2014,"WR","Sdg",199.891625276958,202.150459955625,197.63279059829,193.7,147.1
"Michael Evans",2015,"WR","Tam",199.765201123074,187.810947700694,211.719454545455,206.5,178.6
"Nick Foles",2015,"QB","Lar",199.696388343237,187.657538363045,216.611626666667,194.82,95.08
"Ryan Fitzpatrick",2011,"QB","Buf",199.519393642234,168.478787284467,230.56,NA,218.78
"Earnest Graham",2008,"RB","Tam",199.4,NA,199.4,NA,109.32
"Roddy White",2009,"WR","Atl",199.090448481274,191.980896962548,206.2,NA,229
"Brandin Cooks",2016,"WR","Nor",198.99375521063,189.637031856336,208.350478564923,202.2,206.366666666667
"Brandon Jacobs",2009,"RB","Nyg",198.963289765445,177.92657953089,220,NA,147.9
"Jay Cutler",2012,"QB","Chi",198.896114643628,174.704729287256,223.0875,NA,193.62
"Rashard Mendenhall",2011,"RB","Pit",198.826672982548,172.353345965096,225.3,NA,171.2
"Brandon Marshall",2016,"WR","Nyj",198.386040784077,182.238478393551,214.533603174603,211.4,138.3
"Devonta Freeman",2018,"RB","Atl",198.357597595279,173.603667785838,210.969125,210.5,NA
"David Garrard",2010,"QB","Jax",198.164895419486,167.829790838972,228.5,NA,224.26
"Alshon Jeffery",2015,"WR","Chi",197.991407823447,174.619205994781,221.363609652113,212.5,130.7
"Matthew Forte",2013,"RB","Chi",197.815566135624,167.084465604582,228.546666666667,NA,302.3
"Julio Jones",2012,"WR","Atl",197.662940462307,181.710047591281,213.615833333333,NA,223.3
"Demarco Murray",2012,"RB","Dal",197.093565509761,181.604631019522,212.5825,NA,129.9
"Larry Fitzgerald",2011,"WR","Ari",196.973197293982,183.446394587965,210.5,NA,233.1
"Kyle Orton",2011,"QB","Den/kan",196.928106782554,196.928106782554,NA,NA,90.62
"Amari Cooper",2016,"WR","Oak",196.83938259711,184.943165857928,208.735599336292,199.3,185.8
"Brock Osweiler",2016,"QB","Hou",196.81820590844,139.875062169763,228.299555555555,222.28,168.48
"Sam Bradford",2017,"QB","Min",196.711711398645,138.198527053079,217.676607142857,234.26,26.98
"Benjamin Roethlisberger",2009,"QB","Pit",196.382799177452,186.805598354905,205.96,NA,269.32
"Jim Graham",2013,"TE","Nor",196.360324690462,175.755982714258,216.964666666667,NA,263.5
"Carson Palmer",2010,"QB","Cin",196.260960522256,188.461921044513,204.06,NA,224.8
"Philip Rivers",2008,"QB","Sdg",196.02,NA,196.02,NA,281.76
"Robert Gronkowski",2016,"TE","Nwe",195.807250651072,173.593501302145,218.021,214.4,84.5
"Sammy Watkins",2016,"WR","Buf",195.664224727916,189.93233760678,201.396111849053,190.7,70
"Calvin Johnson",2010,"WR","Det",195.355697746245,183.711395492489,207,NA,226.7
"Michael Wallace",2012,"WR","Pit",195.262801619825,194.284769906316,196.240833333333,NA,164.3
"Matthew Hasselbeck",2008,"QB","Sea",195.2,NA,195.2,NA,55.54
"Marques Colston",2012,"WR","Nor",195.027785514018,180.855571028037,209.2,NA,211.9
"Aj Green",2012,"WR","Cin",194.779195766002,182.20005819867,207.358333333333,NA,252.3
"Jason Campbell",2008,"QB","Was",194.58,NA,194.58,NA,202.6
"Ty Hilton",2016,"WR","Ind",194.566802605236,185.697067729173,203.436537481298,201.7,228.633333333333
"Brett Favre",2008,"QB","Nyj",194.5,NA,194.5,NA,188.18
"Alexander Smith",2013,"QB","Kan",194.493807976065,178.398282618796,210.589333333333,NA,257.72
"Keenan Allen",2018,"WR","Sdg",194.400759850386,164.650975354189,224.150544346584,219.8,NA
"Lesean Mccoy",2018,"RB","Buf",194.355636313271,160.495908939814,213.471,209.1,NA
"Demarco Murray",2017,"RB","Ten",194.34704016679,156.668620500369,210.3725,216,153
"Greg Jennings",2009,"WR","Gnb",194.332372114135,176.96474422827,211.7,NA,172.3
"Frank Gore",2011,"RB","Sfo",194.179000927292,177.158001854585,211.2,NA,186
"Jake Locker",2014,"QB","Ten",194.03245187155,148.34677612747,222.53057948718,211.22,64.92
"Sam Bradford",2016,"QB","Min",193.9885,NA,193.017,194.96,230.38
"Kevin Smith",2009,"RB","Det",193.934323186789,178.568646373577,209.3,NA,163.7
"Andre Ellington",2014,"RB","Ari",193.833877892019,161.873608035031,212.728025641026,206.9,155.5
"Lesean Mccoy",2015,"RB","Buf",193.716565649536,170.386015130427,213.963681818182,196.8,160.7
"Lesean Mccoy",2016,"RB","Buf",193.655142402201,161.628395460572,210.637031746032,208.7,268.3
"David Garrard",2009,"QB","Jax",193.574675849563,163.009351699126,224.14,NA,228.18
"Andre Johnson",2014,"WR","Hou",193.561144033172,174.252057297113,212.870230769231,209.8,152.1
"Emmanuel Sanders",2015,"WR","Den",193.558655936396,183.831877930191,203.285433942601,196.9,196.266666666667
"Tyreek Hill",2018,"WR","Kan",193.429568107132,180.833491203185,206.025645011079,192.2,NA
"Darren Mcfadden",2013,"RB","Oak",193.405097145003,187.640860956674,199.169333333333,NA,89.84
"Brandon Marshall",2012,"WR","Chi",193.317134628501,179.325102590335,207.309166666667,NA,277.6
"Mark Ingram",2016,"RB","Nor",193.196266967931,155.702689792681,211.086111111111,212.8,216.2
"Victor Cruz",2014,"WR","Nyg",193.157961197706,186.467674532165,199.848247863248,192.7,51.2
"Tj Houshmandzadeh",2008,"WR","Cin",193,NA,193,NA,166.933333333333
"Greg Jennings",2012,"WR","Gnb",192.912562673431,175.742625346861,210.0825,NA,79.6
"Greg Jennings",2010,"WR","Gnb",192.840237700373,179.180475400746,206.5,NA,237.4
"Santonio Holmes",2008,"WR","Pit",192.5,NA,192.5,NA,145.033333333333
"Selvin Young",2008,"RB","Den",192.5,NA,192.5,NA,43.2666666666667
"Robert Gronkowski",2015,"TE","Nwe",192.186575364359,165.525559819628,218.847590909091,217.6,220.766666666667
"Blake Bortles",2017,"QB","Jax",192.119047491098,224.490642473295,180.5465,171.32,247.68
