"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Daryl Richardson",2012,"RB","Lar",54.0227258697641,70.5954517395282,37.45,NA,83.8
"Steve Heiden",2009,"TE","Cle",54,NA,54,NA,21.3
"Andre Hall",2008,"RB","Den",54,NA,54,NA,21.9
"Nick Roach",2011,"LB","Chi",53.9910647677797,53.9910647677797,NA,NA,42.5
"Tarvaris Jackson",2013,"","Sea",53.9649805126411,53.9649805126411,NA,NA,16.14
"Dan Sorensen",2018,"S","Kan",53.9577382881233,53.9577382881233,NA,NA,NA
"Alfred Blue",2017,"RB","Hou",53.9559520050007,82.8628560150021,45.705,33.3,44.6
"Dan Williams",2011,"NT","Ari",53.9484229492009,53.9484229492009,NA,NA,19
"Marlon Brown",2013,"WR","Bal",53.9430124620465,78.3710249240929,29.515,NA,143.2
"Michael Tolbert",2016,"RB","Car",53.9217857142857,NA,55.7435714285715,52.1,34.6
"Robert Quinn",2012,"DE","Lar",53.9121045558689,53.9121045558689,NA,NA,58.75
"Linval Joseph",2018,"DT","Min",53.9078524759095,53.9078524759095,NA,NA,NA
"Damarious Randall",2017,"DB","Gnb",53.9018269547763,53.9018269547763,NA,NA,74
"Jermichael Finley",2009,"TE","Gnb",53.9,NA,53.9,NA,150.6
"Tony Lippett",2016,"CB","Mia",53.8765527892263,53.8765527892263,NA,NA,77
"Melvin Ingram",2014,"LB","Sdg",53.8762304554703,53.8762304554703,NA,NA,45
"Kyle Arrington",2014,"DB","Nwe",53.8750456601065,53.8750456601065,NA,NA,49.5
"Jerraud Powers",2014,"DB","Ari",53.8161817986541,53.8161817986541,NA,NA,74.25
"Chester Rogers",2016,"WR","Ind",53.8099473056716,53.8099473056716,NA,NA,46.3
"Darqueze Dennard",2018,"CB","Cin",53.7977757485061,53.7977757485061,NA,NA,NA
"Matthew Longacre",2018,"DE","Lar",53.7977283617465,53.7977283617465,NA,NA,NA
"Joshua Mccown",2016,"QB","Cle",53.7855821264156,77.8948892363896,39.9018571428571,43.56,64.1
"Cody Latimer",2018,"WR","Nyg",53.7757452343384,87.5514904686768,20,20,NA
"Joshua Allen",2018,"QB","Buf",53.7738267533955,62.9614802601866,49.18,49.18,NA
"Justin Forsett",2013,"RB","Jax",53.7602239621005,66.6464479242009,40.874,NA,26.3
"Kyle Vanden Bosch",2012,"DE","Det",53.7576586918879,53.7576586918879,NA,NA,47.25
"Shareece Wright",2013,"RCB","Sdg",53.7512471837143,53.7512471837143,NA,NA,64.25
"Osi Umenyiora",2011,"DE","Nyg",53.7469952872089,53.7469952872089,NA,NA,50.5
